city_part_number,pocet_cizincu,materske_skoly,zakladni_skoly,hustota_zalidneni,index_stari,kulturni_zarizeni,rekreacni_plochy,sportovni_plochy,detska_hriste,lesy_lesoparky,parky,znecisteni_ovzdusi,obyv_nocni_hluk,podil_zastavenych_ploch
Praha 1,0.19236883942766295,0.00043973886276764873,0.0003044345973006799,53.72,152.0,0.009268342184487365,0.31,1.03,0.00023678246456719547,15.1,0.12978477538639316,16.18,27.49,131.03
Praha 2,0.23644342076524433,0.0002581260052022318,0.0003574052379723209,117.49,129.31,0.0007942338621607132,0.23,0.96,0.0001985584655401783,12.79,0.11629907524672035,16.42,32.35,68.73
Praha 3,0.21505503609894663,0.00027616680475006904,0.00015780960271432516,111.33,141.57,0.0004208256072382004,2.8,2.71,0.00034192080588103785,19.18,0.07742861109825519,1.1,21.94,62.4
Praha 4,0.14438016779234938,0.0002725868491988975,0.00024229942151013115,52.93,173.95,0.00018172456613259837,3.26,4.38,0.0006890389799194354,22.2,0.01624353316474108,11.27,23.88,122.37
Praha 5,0.19268914706715784,0.0003513743270048172,0.0002380277699064891,29.96,108.37,0.00034003967129498443,7.56,4.59,0.0007367526211391329,24.57,0.017979554802366727,7.95,22.99,156.11
Praha 6,0.1450197270853348,0.000354434630128809,0.00020519899639036312,24.01,139.39,0.0004197252198893791,7.04,5.87,0.0006249242162797422,20.39,0.016984632264304845,2.84,23.94,252.46
Praha 7,0.17876884977667712,0.00024322292486622738,0.00015477822491487197,60.09,110.55,0.0009728916994649095,2.88,6.45,0.0004422234997567771,19.63,0.16520084566596194,2.1,29.2,100.54
Praha 8,0.1350053663220923,0.00034834020599145153,0.0002071212035624847,47.27,147.69,0.00027302340469600257,5.54,3.38,0.0005554614095539363,22.92,0.01867486464164449,2.35,14.09,111.32
Praha 9,0.2053266447748387,0.00024752066797577597,0.00018151515651556905,42.03,122.57,0.00018151515651556905,3.46,2.73,0.0010395868054982591,18.72,0.023034619545618463,8.38,18.08,141.88
Praha 10,0.1505910229626213,0.00023514303027014316,0.00018087925405395629,58.51,171.25,0.00017183529135125848,3.17,5.16,0.0006421213518915448,16.54,0.014560836777803458,6.28,26.05,119.02
Praha 11,0.12600227613677512,0.0002586519062645492,0.00020692152501163933,78.62,153.24,0.00021985412032486678,0.63,0.96,0.0008406186953597848,29.56,0.02899823355830789,16.64,5.04,69.62
Praha 12,0.11485446464087443,0.00032860033551823734,0.0002075370540115183,23.48,128.88,0.00015565279050863874,9.19,2.4,0.0007609691980422338,33.21,0.003499457498316744,7.45,3.94,127.47
Praha 13,0.18170374799383202,0.00047203952544293043,0.00020455046102526984,46.49,79.25,9.440790508858609e-05,2.6,0.96,0.0012587720678478144,15.58,0.024596871968962174,2.95,2.38,97.36
Praha 14,0.16747974288645548,0.0003140637758840895,0.00016750068047151443,33.83,82.34,0.0001465630954125751,9.7,1.62,0.00035593894600196815,17.41,0.009200821792275743,6.4,20.99,133.67
Praha 15,0.13018433179723501,0.0003456221198156682,0.00020161290322580645,31.46,107.9,0.00014400921658986175,11.08,3.28,0.0007488479262672812,26.06,0.0016588440784145355,0.27,15.68,167.0
Praha 16,0.11134115481941569,0.00023004370830457787,0.00023004370830457787,8.91,106.95,0.0003450655624568668,11.94,7.56,0.00046008741660915573,36.72,0.00015056353781295708,70.74,19.62,361.41
Praha 17,0.10305295950155763,0.00016614745586708205,0.00012461059190031152,76.04,98.95,0.00016614745586708205,3.1,0.51,0.0009553478712357217,19.23,0.004488026805201192,1.54,12.27,78.57
Praha 18,0.21411972485592118,0.0002788622420524261,0.00018590816136828406,33.59,79.86,9.295408068414203e-05,4.14,3.44,0.0006506785647889942,13.77,0.016427068098312705,2.58,8.75,184.69
Praha 19,0.10292110292110292,0.0004095004095004095,0.0001365001365001365,11.5,80.78,0.0004095004095004095,5.08,3.82,0.000819000819000819,4.77,0.0062476050847175245,0.39,15.78,522.75
Praha 20,0.10529005877843087,0.0002555583950932788,0.0003194479938665985,8.99,96.29,0.0003194479938665985,21.35,3.42,0.000638895987733197,9.18,0.002762838639597145,8.63,14.37,424.43
