locations/id,locations/response/destination_addresses/0,locations/response/destination_addresses/1,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/rows/0/elements/1/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value,locations/response/rows/0/elements/0/fare/currency,locations/response/rows/0/elements/0/fare/text,locations/response/rows/0/elements/0/fare/value,locations/response/rows/0/elements/1/distance/text,locations/response/rows/0/elements/1/distance/value,locations/response/rows/0/elements/1/duration/text,locations/response/rows/0/elements/1/duration/value,locations/response/rows/0/elements/1/fare/currency,locations/response/rows/0/elements/1/fare/text,locations/response/rows/0/elements/1/fare/value
https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/60488635347b7a450108d8a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.04658025100008,14.305064858000037","50.082381,14.426107","0,0",ZERO_RESULTS,ZERO_RESULTS,OK,,,,,,,,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-8-v-mezihori/60243757cabd2d6ade353f73/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.04658025100008,14.305064858000037","50.082381,14.426107","0,0",ZERO_RESULTS,ZERO_RESULTS,OK,,,,,,,,,,,,,,
https://www.prazskereality.cz/nabizim-k-prodeji-luxusni-byt-3-kk-90-m2-s-dvema-balkony-7364749.html,"50.04658025100008,14.305064858000037","50.082381,14.426107","0,0",ZERO_RESULTS,ZERO_RESULTS,OK,,,,,,,,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-prvomajova/6064649525d57f1930132113/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Lužiny, 155 00 Praha-Praha 13, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Prvomájová 564/5, 153 00 Praha-Radotín, Czechia",OK,OK,OK,16.6 km,16626,47 mins,2811,CZK,CZK 32.00,32,15.3 km,15334,38 mins,2295,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-17-makovskeho/608149d37facef018730e7a2/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Zličín, 155 00 Praha-Zličín, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Makovského 1147/6, 163 00 Praha 17-Řepy, Czechia",OK,OK,OK,2.4 km,2351,30 mins,1823,,,,22.1 km,22123,50 mins,3029,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-radounova/6051affd0dbae778b62d60f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Stodůlky, 155 00 Praha-Praha 13, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Radouňova 417/5, 155 00 Řeporyje, Czechia",OK,OK,OK,1.8 km,1821,24 mins,1457,,,,16.9 km,16859,1 hour 7 mins,4033,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-6-pod-kastany/60612540bd84803f19586983/?s-et=flat&s-ot=sale&s-l=VUSC-19,"M. Horákové 75/105, 160 00 Praha 6-Hradčany, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Pod kaštany 279/16, 160 00 Praha 6-Bubeneč, Czechia",OK,OK,OK,0.5 km,547,8 mins,474,,,,2.8 km,2847,36 mins,2180,,,
https://www.remax-czech.cz/reality/detail/298956/prodej-bytu-5-1-v-osobnim-vlastnictvi-100-m2-praha-9-vinor,"Černý Most, 198 00 Praha-Praha 20, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Uherská 625, 190 17 Praha-Vinoř, Czechia",OK,OK,OK,17.7 km,17724,49 mins,2924,CZK,CZK 32.00,32,19.0 km,19034,54 mins,3255,CZK,CZK 32.00,32
https://reality.idnes.cz/detail/prodej/byt/praha-5/5e83b076558f077e6f111d63/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha-Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Souběžná I 462, 158 00 Praha 5-Jinonice, Czechia",OK,OK,OK,0.7 km,669,9 mins,519,,,,14.4 km,14358,41 mins,2441,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-5-naskove/60059b66ca885e4085020313/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Jinonice, 158 00 Praha 5, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Naskové 42, 150 00 Praha 5, Czechia",OK,OK,OK,1.5 km,1457,20 mins,1181,,,,26.9 km,26903,55 mins,3294,,,
https://www.prazskereality.cz/s-ohledem-na-aktualni-situaci-bychom-vas-chteli-ujistit--7336165.html,"Náměstí Míru 585/11, 120 00 Praha 2-Vinohrady, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Perucká 9, Vinohrady, 120 00 Praha-Praha 2, Czechia",OK,OK,OK,0.9 km,933,13 mins,798,,,,1.9 km,1859,23 mins,1391,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-prusanecka/6081611dc1ef71210b16f9e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Zličín, 155 00 Praha-Zličín, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Prušánecká 492/3, 155 21 Zličín, Czechia",OK,OK,OK,0.9 km,879,11 mins,650,,,,22.5 km,22456,1 hour 7 mins,4002,CZK,CZK 24.00,24
https://www.prazskereality.cz/v-exkluzivnim-zastoupeni-vlastnika-nabizime-k-prodeji-po-7372181.html,"U Obecního domu 660/6, 110 00 Praha 1-Staré Město, Czechia","stanice metra Můstek, 110 00 Praha 1, Czechia","Rybná 21, 110 00 Praha 1-Staré Město, Czechia",OK,OK,OK,0.4 km,384,5 mins,294,,,,1.0 km,1042,13 mins,781,,,
