locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value,locations/response/rows/0/elements/0/fare/currency,locations/response/rows/0/elements/0/fare/text,locations/response/rows/0/elements/0/fare/value
https://reality.idnes.cz/detail/prodej/byt/praha-8-v-mezihori/60243757cabd2d6ade353f73/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/60488635347b7a450108d8a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://www.prazskereality.cz/nabizim-k-prodeji-luxusni-byt-3-kk-90-m2-s-dvema-balkony-7364749.html,"50.082381,14.426107","0,0",ZERO_RESULTS,OK,,,,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-6-podbabska/6058a2c4bddf16359860c4f3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Hydrologický ústav, 160 00 Praha-Praha 6, Czechia",OK,OK,7.5 km,7475,26 mins,1535,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-1-skorepka/60757a1734d0cf2aae0299b3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Skořepka 9, 110 00 Praha 1-Staré Město, Czechia",OK,OK,0.6 km,648,8 mins,484,,,
https://reality.idnes.cz/detail/prodej/byt/praha-5-prvomajova/6064649525d57f1930132113/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Prvomájová 564/5, 153 00 Praha-Radotín, Czechia",OK,OK,15.3 km,15334,38 mins,2295,CZK,CZK 24.00,24
https://reality.idnes.cz/detail/prodej/byt/praha-10/608d3c738831dc50304dda43/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Kašovická, Nové nám., 104 00 Praha 22-Uhříněves, Czechia",OK,OK,15.9 km,15919,42 mins,2534,CZK,CZK 24.00,24
https://www.remax-czech.cz/reality/detail/310277/prodej-bytu-3-1-v-osobnim-vlastnictvi-68-m2-praha-4-nusle,"stanice metra Můstek, 110 00 Praha 1, Czechia","Kotorská 1572/18, 140 00 Praha 4-Nusle, Czechia",OK,OK,3.7 km,3739,44 mins,2669,,,
https://www.prazskereality.cz/na-prodej-nove-zrekonstruovany-cihlovy-byt-2-kk-ktery-se-7309744.html,"stanice metra Můstek, 110 00 Praha 1, Czechia","Plzeňská 488, Smíchov, 150 00 Praha-Praha 5, Czechia",OK,OK,2.9 km,2949,37 mins,2245,,,
https://reality.idnes.cz/detail/prodej/byt/praha-6-stehlikova/602a7264f9700502a625516f/?s-et=flat&s-ot=sale&s-l=VUSC-19,"stanice metra Můstek, 110 00 Praha 1, Czechia","Osvobození 1074, 165 00 Praha-Suchdol, Czechia",OK,OK,10.7 km,10749,40 mins,2405,CZK,CZK 24.00,24
