locations/id,locations/response/destination_addresses/0,locations/response/origin_addresses/0,locations/response/rows/0/elements/0/status,locations/response/status,locations/response/rows/0/elements/0/distance/text,locations/response/rows/0/elements/0/distance/value,locations/response/rows/0/elements/0/duration/text,locations/response/rows/0/elements/0/duration/value
https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/60488635347b7a450108d8a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.04658025100008,14.305064858000037","0,0",ZERO_RESULTS,OK,,,,
https://reality.idnes.cz/detail/prodej/byt/praha-8-v-mezihori/60243757cabd2d6ade353f73/?s-et=flat&s-ot=sale&s-l=VUSC-19,"50.04658025100008,14.305064858000037","0,0",ZERO_RESULTS,OK,,,,
https://sreality.cz/detail/prodej/byt/1+kk/praha-liben-hejtmankova/3724340572,"Na Hrázi 21, 180 00 Praha 8-Palmovka, Czechia","Hejtmánkova 828, 180 00 Praha 8-Libeň, Czechia",OK,OK,1.0 km,968,12 mins,727
https://reality.idnes.cz/detail/prodej/byt/praha-8-hejtmankova/6023b5188e6e800d2c4679b3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Na Hrázi 21, 180 00 Praha 8-Palmovka, Czechia","Hejtmánkova 828, 180 00 Praha 8-Libeň, Czechia",OK,OK,1.0 km,968,12 mins,727
https://reality.idnes.cz/detail/prodej/byt/praha-10-mrstikova/6088efb8de4bc653693815a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"V Olšinách 200, 100 00 Praha-Strašnice, Czechia","Mrštíkova 408/10, 100 00 Praha-Strašnice, Czechia",OK,OK,0.4 km,371,5 mins,276
https://www.remax-czech.cz/reality/detail/298956/prodej-bytu-5-1-v-osobnim-vlastnictvi-100-m2-praha-9-vinor,"Černý Most, 198 00 Praha-Praha 20, Czechia","Uherská 625, 190 17 Praha-Vinoř, Czechia",OK,OK,5.4 km,5395,1 hour 7 mins,4022
https://reality.idnes.cz/detail/prodej/byt/praha-10-limuzska/604239027846e72ab70d175e/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Depo Hostivař, 100 00 Praha-Praha 10, Czechia","Limuzská 2111/10, 100 00 Praha-Strašnice, Czechia",OK,OK,0.9 km,939,12 mins,718
https://reality.idnes.cz/detail/prodej/byt/praha-8-sokolovska/6006c17199ce1a62d07ac7c3/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Palmovka 180 00, 180 00 Praha 8-Palmovka, Czechia","Sokolovská 1278, 180 00 Praha 8-Libeň, Czechia",OK,OK,0.4 km,427,5 mins,323
https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/602cc76dbf830175321a7373/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Liberijská 568, 160 00 Praha 6-Vokovice, Czechia","Podbělohorská 190/73, 150 00 Praha-Praha 5, Czechia",OK,OK,4.6 km,4578,59 mins,3547
https://reality.idnes.cz/detail/prodej/byt/praha-9-herdovska/5f89c4a93b6d154dc641bb53/?s-et=flat&s-ot=sale&s-l=VUSC-19,"Hloubětín, 198 00 Praha-Praha 14, Czechia","Vlkovická 668/3, 198 00 Praha 14-Kyje, Czechia",OK,OK,2.1 km,2146,26 mins,1586
